Name, Type (Default value), Description
"camera.frame", "string (camera_optical)", "The frame ID for the camera frame used to transform the point cloud to pixel coordinates. A valid and recent transform between the frame contained in the point cloud message and this frame must be available for the tracker to run."
"filters.downsampling.leaf_size", "double (0.3)", "Leaf size used in the voxel grid downsampling algorithm. The value must be sufficiently small to accurately capture the contours of the tracked object but large enough to keep the computational cost manageable."
"filters.passthrough.min", "double (3.0)", "The distance from the camera frame origin below which points are ignored. This is used to remove any features of the vehicle to LiDAR sensor is mounted on from the point cloud."
"filters.passthrough.max", "double (30.0)", "The distance from the camera frame origin above which points are ignored. This is used to exclude points with high uncertainty or avoid tracking unrelated far-away objects."
"filters.clustering.tolerance", "double (0.6)", "The spatial tolerance used by the clustering algorithm to identify clusters. This value must be higher than the downsampling leaf size to form clusters correctly, and should be set high enough to capture the contours of the target accurately."
"filters.clustering.size.minimum", "int (50)", "The minimum number of points required to form a cluster. This value should be as high as possible while still guaranteeing that a cluster can be formed even when the target view is significantly occluded."
"filters.clustering.size.maximum", "int (500)", "The maximum number ofr points allowed to form a cluster. This value should be as low as possible while still guaranteeing that a cluster representing the entire target can be formed."
"filters.ground.max_iterations", "int (50)", "The number of iterations in the RANSAC algorithm trying to fit and remove a ground plane from the target region of interest."
"filters.ground.threshold", "double (0.2)", "The spatial threshold under which two points are assumed to belong to the same planar feature. This value should be set based on the roughness of the surface under the target."
"filters.ground.angle", "double (7.0)", "The allowed angular skew when identify the normal vector of the ground plane relative to the camera frame. Too low values will cause the fit to fail often when the target is on a tilted surface, too high values will cause inclined surfaces to be erroneously segmented as ground planes."
"filters.kalman.rate", "double (20.0)", "The execution rate of the Kalman filter prediction (and, if a new measurement is available, update) step. This value also dictates the rate at which detection, pose and odometry messages are published."
"filters.kalman.process", "double (0.01)", "The Kalman filter process noise covariance. Larger values will increase the reliance of the filter on measurements."
"filters.kalman.measurement", "double (1.0)", "The Kalman filter measurement noise covariance. Larger values will increase the reliance of the filter on the system model."
"tracker.target_class", "int (0)", "The numerical class ID used to identify the target in the published detections."
"tracker.timeout", "double (5.0)", "The time interval after which a missing target is timed out and all estimation is halted."
"sync.enable", "bool (true)", "Whether or not to enforce time synchronization between the point cloud and the camera image."
"sync.use_callback", "bool (false)", "Whether or not the time synchronization should use the callback time instead of message headers when enforcing synchronization. This parameter should only be set to true when working with Rosbag data."
"sync.detection", "double (0.1)", "The maximum allowed time skew between the point cloud and the camera image."
"publish.clouds.fov", "bool (false)", "Whether or not to publish the point cloud of the camera field of view. Setting this parameter to true has a significant performance impact and should only be used for debugging purposes."
"publish.clouds.roi", "bool (false)", "Whether or not to publish the point cloud of the region of interest containing the target. Setting this parameter to true has a significant performance impact and should only be used for debugging purposes."
"publish.clouds.ground", "bool (false)", "Whether or not to publish the point cloud of the segmented ground plane. Setting this parameter to true has a significant performance impact and should only be used for debugging purposes."
"publish.clouds.cluster", "bool (false)", "Whether or not to publish the point cloud of the selected target cluster. Setting this parameter to true has a significant performance impact and should only be used for debugging purposes."
